ano;id_municipio;id_municipio_nome;sigla_uf;sigla_uf_nome;populacao_atentida_esgoto;populacao_urbana;extensao_rede_esgoto;quantidade_localidade_esgoto;quantidade_economia_ativa_esgoto;volume_agua_tratada_importado;volume_esgoto_coletado;volume_esgoto_tratado;volume_esgoto_faturado;receita_operacional_direta_esgoto;despesa_servico_terceiro;despesa_servico_outro;despesas_juros_divida_excecao;investimento_recurso_proprio_prestador;investimento_recurso_nao_oneroso_prestador;investimento_recurso_nao_oneroso_estado;investimento_total_estado;natureza_juridica
2009;1302504;Manacapuru;AM;Amazonas;;57139;;;;0.0;;;;;;;;;;;;
2003;1200013;AcrelÃ¢ndia;AC;Acre;;3842;;;;0.0;;;;;28495.6;0.0;0.0;0.0;44023.17;;;Autarquia | Administração pública direta
2006;1200302;FeijÃ³;AC;Acre;;16558;;;;0.0;;;;;33921.07;0.0;0.0;15507.19;174329.3;;;Autarquia | Administração pública direta
2005;1200500;Sena Madureira;AC;Acre;;18115;;;;0.0;;;;;57397.52;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2006;1300805;Borba;AM;Amazonas;;14458;;;0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;Administração pública direta | Administração pública direta
2006;1301001;Carauari;AM;Amazonas;;19006;;;;0.0;;;;;50120.88;0.0;0.0;118346.43;0.0;;;Sociedade de economia mista com administração pública
2005;1400704;UiramutÃ£;RR;Roraima;;582;;;;0.0;;;;;0.0;;0.0;0.0;0.0;;;
2017;1300300;Autazes;AM;Amazonas;;16625;;;;0.0;;;;;67322.15;0.0;0.0;37483.9;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2020;1301704;HumaitÃ¡;AM;Amazonas;;38720;;;;0.0;;;;;180000.0;0.0;0.0;0.0;0.0;0.0;0.0;Autarquia | Administração pública direta
2018;1302405;LÃ¡brea;AM;Amazonas;;29051;;;;0.0;;;;;20000.0;;0.0;;;0.0;0.0;
2018;1302553;Manaquiri;AM;Amazonas;;9647;;;;0.0;;;;;87867.7;249159.03;0.0;8770.78;0.0;0.0;0.0;
2015;1300409;Barcelos;AM;Amazonas;;11901;;;;0.0;;;;;11390.0;;0.0;0.0;0.0;0.0;0.0;Autarquia
2015;1302207;JuruÃ¡;AM;Amazonas;;6947;;;;0.0;;;;;94946.07;;0.0;20585.7;660.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2015;1302553;Manaquiri;AM;Amazonas;;8800;;;;0.0;;;;;193547.09;;0.0;20638.36;30655.9;0.0;0.0;
2011;1200344;Manoel Urbano;AC;Acre;;5360;;;;0.0;;;;;230584.41;0.0;0.0;0.0;44904.16;0.0;0.0;Autarquia | Administração pública direta
2008;1200807;Porto Acre;AC;Acre;;1921;;;;0.0;;;;;35944.0;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2009;1200500;Sena Madureira;AC;Acre;;22564;;;;0.0;;;;;2923.26;0.0;0.0;11301.55;693.67;;;Autarquia | Administração pública direta
2011;1300029;AlvarÃ£es;AM;Amazonas;;7970;;;;0.0;;;;;44980.39;0.0;0.0;13042.6;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2004;1200252;EpitaciolÃ¢ndia;AC;Acre;;8607;;;;0.0;;;;;58102.08;0.0;0.0;0.0;416901.29;;;Autarquia | Administração pública direta
2006;1200385;PlÃ¡cido de Castro;AC;Acre;;7826;;;;0.0;;;;;47697.9;0.0;0.0;34575.69;56053.25;;;Autarquia | Administração pública direta
2005;1200708;Xapuri;AC;Acre;;6866;;;;0.0;;;;;46047.81;0.0;0.0;0.0;187782.55;;;Autarquia | Administração pública direta
2022;1302108;JapurÃ¡;AM;Amazonas;;;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;Administração pública direta | Administração pública direta
2021;1301704;HumaitÃ¡;AM;Amazonas;;39444;;;;0.0;;;;;180000.0;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2014;1300300;Autazes;AM;Amazonas;;15694;;;;0.0;;;;;45195.2;0.0;0.0;9373.35;36300.39;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2013;1300300;Autazes;AM;Amazonas;;15371;;;;0.0;;;;;67838.75;0.0;0.0;232903.13;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2009;1301159;Careiro da VÃ¡rzea;AM;Amazonas;;855;;;;0.0;;;;;;0.0;0.0;0.0;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2011;1302702;ManicorÃ©;AM;Amazonas;;20648;;;;0.0;;;;;0.0;1000.0;0.0;;;0.0;0.0;
2003;1200385;PlÃ¡cido de Castro;AC;Acre;;7374;;;;0.0;;;;;42283.1;0.0;0.0;0.0;242127.44;;;Autarquia | Administração pública direta
2005;1200807;Porto Acre;AC;Acre;;1369;;;;0.0;;;;;16880.9;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2002;1200500;Sena Madureira;AC;Acre;;16758;;;;0.0;;;;;91200.01;0.0;0.0;0.0;137496.6;;;Autarquia | Administração pública direta
2001;1303007;NhamundÃ¡;AM;Amazonas;;6392;;;;0.0;;;;;2870.96;;;;0.0;;;
2022;1300029;AlvarÃ£es;AM;Amazonas;;;;;;0.0;;;;;52466.42;72623.12;0.0;0.0;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2017;1301159;Careiro da VÃ¡rzea;AM;Amazonas;;1220;;;;0.0;;;;;36097.21;0.0;0.0;14648.69;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2018;1301951;Itamarati;AM;Amazonas;;4389;;;;0.0;;;;;15101.8;475240.46;0.0;3420.78;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2021;1302207;JuruÃ¡;AM;Amazonas;;8156;;;;0.0;;;;;68976.91;0.0;0.0;20712.64;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2008;1200302;FeijÃ³;AC;Acre;;16189;;;;0.0;;;;;34644.0;0.0;0.0;0.0;9569.86;;;Autarquia | Administração pública direta
2007;1300607;Benjamin Constant;AM;Amazonas;;18598;;;;0.0;;;;;41157.27;0.0;0.0;1413.0;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2007;1300805;Borba;AM;Amazonas;;14082;;;;0.0;;;;;0.0;0.0;0.0;;;;;Administração pública direta | Administração pública direta
2008;1304062;Tabatinga;AM;Amazonas;;32201;;;;0.0;;;;;133013.0;0.0;0.0;23462.0;0.0;;;
2021;1300805;Borba;AM;Amazonas;;17476;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;Administração pública direta | Administração pública direta
2019;1301407;EirunepÃ©;AM;Amazonas;;25497;;;;0.0;;;;;102978.29;0.0;0.0;23592.41;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2016;1302405;LÃ¡brea;AM;Amazonas;;28297;;;;0.0;;;;;20000.0;;0.0;;;0.0;0.0;
2011;1200351;Marechal Thaumaturgo;AC;Acre;;4096;;;;0.0;;;;;57724.53;0.0;0.0;0.0;0.0;0.0;0.0;Autarquia | Administração pública direta
2010;1304203;TefÃ©;AM;Amazonas;;50069;;;;0.0;;;;;77033.17;0.0;0.0;0.0;0.0;0.0;0.0;
2005;1200385;PlÃ¡cido de Castro;AC;Acre;;7678;;;;0.0;;;;;24742.35;0.0;0.0;0.0;542616.64;;;Autarquia | Administração pública direta
2000;1300060;AmaturÃ¡;AM;Amazonas;;3930;;;;0.0;;;;;7021.28;0.0;;0.0;0.0;;;Administração pública direta
2001;1302702;ManicorÃ©;AM;Amazonas;;15347;;;;0.0;;;;;4411.28;;;1155.0;0.0;;;
2001;1303569;Rio Preto da Eva;AM;Amazonas;;6997;;;;0.0;;;;;3531.91;;;;0.0;;;
2022;1302405;LÃ¡brea;AM;Amazonas;;;;;;0.0;;;;;32000.0;0.0;0.0;;;;;
2022;1304005;Silves;AM;Amazonas;;;;;;0.0;;;;;0.0;0.0;0.0;;;;;
2021;1301951;Itamarati;AM;Amazonas;;4327;;;;0.0;;;;;51535.66;0.0;0.0;23569.57;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2012;1300805;Borba;AM;Amazonas;;14830;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;Administração pública direta | Administração pública direta
2013;1400704;UiramutÃ£;RR;Roraima;;1240;;;;0.0;;;;;0.0;;0.0;;0.0;;0.0;
2009;1200252;EpitaciolÃ¢ndia;AC;Acre;;9770;;;;0.0;;;;;13678.45;0.0;0.0;0.0;792.75;;;Autarquia | Administração pública direta
2010;1301704;HumaitÃ¡;AM;Amazonas;;30501;;;;0.0;;;;;10000.0;10000.0;0.0;;;;;Autarquia | Administração pública direta
2001;1300607;Benjamin Constant;AM;Amazonas;;14534;;;;0.0;;;;;9771.11;;;;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2020;1300086;AnamÃ£;AM;Amazonas;;5703;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;Administração pública direta
2021;1300409;Barcelos;AM;Amazonas;;12048;;;;0.0;;;;;74955.84;17408.0;0.0;;;0.0;0.0;Autarquia
2021;1303908;SÃ£o Paulo de OlivenÃ§a;AM;Amazonas;;18537;;;;0.0;;;;;107428.57;0.0;0.0;8197.01;0.0;0.0;0.0;
2017;1304005;Silves;AM;Amazonas;;4395;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;
2008;1200203;Cruzeiro do Sul;AC;Acre;;52634;;;;0.0;;;;;64271.02;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2008;1200344;Manoel Urbano;AC;Acre;;4302;;;;0.0;;;;;34644.0;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2010;1200807;Porto Acre;AC;Acre;;1982;;;;0.0;;;;;138210.79;0.0;0.0;46.15;0.0;;;Autarquia | Administração pública direta
2010;1302306;JutaÃ­;AM;Amazonas;;10552;;;;0.0;;;;;50.0;0.0;0.0;60000.0;0.0;0.0;0.0;
2006;1200104;BrasilÃ©ia;AC;Acre;;9579;;;;0.0;;;;;129548.41;0.0;0.0;9705.25;25545.17;;;Autarquia | Administração pública direta
2005;1200435;Santa Rosa do Purus;AC;Acre;;783;;;;0.0;;;;;4573.69;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2001;1200138;Bujari;AC;Acre;;1720;;;;0.0;;;;;28576.0;0.0;;4025.0;36224.96;;;Autarquia | Administração pública direta
2001;1200344;Manoel Urbano;AC;Acre;;3388;;;;0.0;;;;;38102.05;0.0;;62614.15;423938.11;;;Autarquia | Administração pública direta
2022;1303304;Novo AripuanÃ£;AM;Amazonas;;;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;
2020;1300680;Boa Vista do Ramos;AM;Amazonas;;9892;;;;0.0;;;;;125395.0;0.0;0.0;10166.89;0.0;0.0;0.0;Autarquia | Administração pública direta
2021;1301852;Iranduba;AM;Amazonas;;35330;;;;0.0;;;;;350000.0;0.0;0.0;0.0;0.0;0.0;0.0;Autarquia | Administração pública direta
2021;1302504;Manacapuru;AM;Amazonas;;70402;;;;0.0;;;;;200259.72;0.0;0.0;0.0;0.0;0.0;0.0;
2019;1303502;Pauini;AM;Amazonas;;9907;;;;0.0;;;;;35415.54;0.0;0.0;;;0.0;25000.0;
2021;1400704;UiramutÃ£;RR;Roraima;;1497;;;;0.0;;;;;0.0;124911.63;0.0;308107.44;0.0;0.0;0.0;
2014;1301605;Fonte Boa;AM;Amazonas;;14107;;;;0.0;;;;;500.0;999.0;0.0;0.0;0.0;0.0;0.0;Autarquia | Administração pública direta
2015;1302504;Manacapuru;AM;Amazonas;;66559;;;;0.0;;;;;145000.0;0.0;0.0;0.0;0.0;0.0;0.0;
2012;1303007;NhamundÃ¡;AM;Amazonas;;7180;;;;0.0;;;;;12000.0;0.0;0.0;;;0.0;0.0;
2016;1303205;Novo AirÃ£o;AM;Amazonas;;11699;;;;0.0;;;;;19788.6;0.0;0.0;;;0.0;3988852.8;
2011;1300300;Autazes;AM;Amazonas;;14152;;;;0.0;;;;;130882.49;0.0;0.0;6540.09;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
